rr,rr_reduced,total_traced,inf_p
2,0,6,2
2,0,8,2
2,1,24,2
0,0,1,5
0,0,0,5
2,0,27,2
1,1,13,5
0,0,19,5
2,2,2,5
2,0,45,3
3,2,29,1
0,0,25,5
5,0,25,4
0,0,14,5
1,1,61,5
3,0,26,4
0,0,1,5
3,1,3,2
3,2,15,4
0,0,0,5
2,2,1,5
0,0,3,5
4,4,43,5
0,0,0,5
0,0,1,5
0,0,1,4
1,0,29,1
5,0,64,1
0,0,9,3
11,1,40,2
0,0,29,4
2,2,44,5
0,0,8,5
1,1,0,5
0,0,16,5
1,1,15,5
0,0,14,2
2,2,3,5
5,5,46,5
2,1,0,2
0,0,1,1
0,0,5,4
1,0,14,2
28,28,515,5
1,1,1,3
6,1,82,4
1,1,45,5
6,1,30,2
4,1,1,1
0,0,0,4
2,2,36,5
0,0,23,5
1,0,14,2
21,0,244,1
2,1,10,4
4,1,38,4
3,0,26,3
2,2,40,5
5,0,41,1
1,1,44,5
2,0,26,4
2,1,33,2
2,1,0,2
8,2,115,4
3,3,18,5
0,0,1,5
0,0,0,3
2,2,4,5
3,1,18,4
3,2,4,4
4,4,66,5
2,2,36,5
0,0,37,5
1,1,47,5
2,0,27,4
1,1,22,5
2,1,15,4
30,5,262,2
0,0,23,5
1,0,4,4
3,3,14,5
2,0,7,3
0,0,5,1
0,0,5,5
1,0,22,4
3,0,14,1
8,1,85,1
0,0,54,5
2,2,20,5
0,0,2,2
8,2,126,1
6,6,113,5
5,5,87,5
1,0,4,1
1,1,55,5
1,1,1,5
0,0,10,5
0,0,17,5
8,8,108,5
0,0,17,5
0,0,47,5
0,0,0,5
0,0,21,5
0,0,1,3
1,0,0,4
3,1,17,3
2,2,1,4
8,0,103,4
1,0,48,2
23,5,328,4
0,0,16,5
0,0,15,1
9,3,103,4
4,4,11,5
6,3,0,2
1,1,4,5
1,1,13,5
0,0,1,2
1,1,2,5
5,1,4,1
0,0,15,5
0,0,3,4
0,0,1,5
6,0,52,1
2,2,35,5
1,1,7,5
1,1,19,5
0,0,0,4
0,0,0,5
0,0,8,5
13,1,110,2
2,2,4,5
2,1,0,2
3,0,61,1
9,1,125,3
2,2,9,5
0,0,0,5
0,0,2,5
0,0,10,5
0,0,0,5
5,0,81,2
0,0,1,5
2,0,21,4
2,0,42,2
0,0,2,5
5,0,26,1
5,1,109,4
7,4,9,2
1,0,0,2
0,0,0,2
0,0,17,3
0,0,0,3
0,0,4,4
2,1,2,4
1,1,48,4
0,0,2,2
1,0,21,3
0,0,2,4
3,2,15,4
9,3,57,2
5,0,33,3
2,0,16,2
5,0,12,2
7,7,40,5
4,1,79,3
1,1,38,5
2,0,3,1
2,2,14,5
3,3,71,5
1,1,4,5
2,2,6,5
3,3,22,5
0,0,11,3
0,0,0,5
0,0,6,5
1,0,2,3
2,2,23,5
2,2,51,5
1,1,66,5
2,0,2,4
0,0,14,1
3,3,41,5
1,1,74,5
0,0,2,4
2,0,12,2
2,0,14,2
0,0,4,5
2,1,8,3
3,3,21,5
4,3,0,4
2,2,20,5
2,2,33,5
5,5,18,5
0,0,4,5
4,1,9,2
1,1,9,5
3,3,34,5
1,1,118,5
2,2,14,3
4,4,102,5
5,1,55,1
16,11,60,2
7,1,77,1
0,0,3,4
0,0,1,2
6,1,0,1
4,0,46,3
0,0,3,5
1,1,93,5
2,2,28,5
6,2,100,2
2,2,3,4
4,0,24,1
6,0,53,2
1,1,19,4
2,2,20,4
13,7,123,3
0,0,3,1
3,3,10,5
2,2,12,5
6,5,1,4
3,3,35,5
3,3,4,5
4,0,15,2
2,2,54,5
4,4,3,5
0,0,18,5
0,0,1,1
0,0,3,5
1,1,7,5
1,1,0,5
8,3,65,4
0,0,3,2
8,2,120,4
8,1,49,4
0,0,7,3
3,3,31,5
2,1,5,2
0,0,2,5
0,0,5,5
1,1,2,5
8,0,131,2
1,1,2,5
0,0,1,5
5,5,64,5
3,0,30,2
0,0,2,5
6,2,18,2
0,0,0,5
1,0,2,4
3,0,1,1
1,1,5,5
0,0,2,4
1,1,24,5
0,0,2,3
3,3,0,5
1,1,48,5
5,1,21,4
14,1,138,3
3,0,17,4
4,4,42,5
0,0,6,5
0,0,51,5
1,0,25,2
0,0,0,3
0,0,0,5
0,0,0,5
1,1,3,5
0,0,4,5
8,8,46,5
1,1,49,5
1,0,17,4
5,2,47,4
2,2,68,5
2,2,121,5
3,3,23,5
0,0,11,5
1,1,13,5
7,7,106,5
2,2,12,5
1,1,22,5
2,2,1,5
0,0,6,3
1,1,0,5
5,3,0,4
1,0,18,4
1,0,14,2
0,0,2,5
2,2,67,5
0,0,1,5
0,0,0,5
5,3,6,3
7,7,83,5
0,0,12,1
2,1,2,2
4,1,16,3
2,0,6,3
1,1,4,5
0,0,2,5
3,0,49,1
2,2,3,5
1,1,1,5
0,0,21,5
3,3,16,5
2,2,10,5
7,2,54,4
5,0,36,2
0,0,2,3
1,0,1,1
9,0,67,1
3,3,28,5
5,1,54,1
13,3,39,2
0,0,3,3
0,0,3,3
1,1,4,5
7,7,15,4
3,2,1,4
0,0,0,4
1,1,12,5
4,4,64,5
1,0,20,4
0,0,19,1
5,1,5,2
1,1,21,5
1,0,28,2
0,0,31,5
7,7,50,5
0,0,7,3
5,5,54,5
5,0,38,3
2,0,43,3
2,2,1,5
2,2,6,5
7,0,114,3
1,1,0,4
2,2,38,5
4,4,64,5
2,0,51,2
0,0,0,4
9,1,30,1
0,0,66,5
0,0,48,5
2,2,28,5
12,12,110,5
2,2,5,5
4,2,30,3
3,3,37,5
4,4,46,5
0,0,0,5
0,0,0,5
1,0,8,2
1,0,14,2
0,0,1,5
2,2,48,5
