rr,rr_reduced,total_traced,inf_p
1,1,20,5
2,2,17,5
1,1,25,5
4,4,51,5
3,3,47,5
2,0,24,2
1,0,15,2
0,0,8,5
2,1,39,1
1,1,66,5
0,0,5,5
2,0,6,1
2,0,31,2
4,0,36,4
1,1,49,5
1,1,11,5
0,0,3,1
0,0,5,5
0,0,0,1
0,0,4,5
1,0,44,3
5,0,61,4
0,0,16,5
1,1,52,5
1,1,36,2
0,0,40,4
16,16,168,5
6,6,73,5
0,0,7,4
13,1,197,1
0,0,6,5
3,0,37,3
3,1,32,3
4,0,26,4
2,0,5,1
8,8,90,5
2,0,50,4
0,0,14,5
1,1,13,5
1,1,13,5
4,0,85,3
0,0,29,5
4,4,20,5
1,1,49,5
0,0,2,2
2,0,27,4
0,0,0,3
1,1,6,5
1,1,52,5
5,0,101,1
0,0,5,5
1,1,39,5
0,0,9,5
0,0,9,5
2,2,20,5
9,1,131,3
1,1,111,5
0,0,18,5
3,1,34,4
0,0,15,5
3,3,40,5
3,3,96,5
4,4,39,5
2,0,53,1
0,0,34,5
0,0,0,5
5,0,128,4
0,0,6,5
3,0,33,2
13,1,132,1
0,0,6,5
7,2,73,4
2,2,5,5
1,0,36,1
5,5,128,5
0,0,11,5
6,0,51,4
1,1,65,5
1,0,29,3
6,2,66,4
5,2,73,4
1,1,29,5
5,1,62,3
1,0,5,4
0,0,11,5
0,0,1,5
0,0,3,5
4,0,33,1
0,0,5,5
2,2,76,5
1,0,6,3
8,2,119,2
1,1,40,5
0,0,27,5
0,0,6,4
0,0,54,5
1,0,4,2
0,0,9,2
1,1,6,3
0,0,2,4
0,0,4,3
3,0,13,2
2,2,51,5
3,3,45,5
1,0,26,3
1,0,27,4
5,5,118,5
2,2,18,5
1,0,10,3
4,4,60,5
1,0,54,2
3,0,61,4
2,1,22,4
1,1,25,5
0,0,16,5
2,2,28,5
0,0,10,5
3,3,46,5
1,1,4,2
5,1,48,2
1,1,16,5
0,0,34,5
9,0,91,2
0,0,0,2
3,0,38,4
2,1,17,2
0,0,1,2
1,0,34,1
2,0,13,1
6,0,15,1
2,2,58,5
0,0,2,3
0,0,3,4
0,0,58,5
5,5,121,5
18,18,537,5
6,6,86,5
3,3,85,5
1,1,6,5
2,0,8,3
0,0,5,5
4,0,40,1
2,0,27,4
0,0,1,1
2,0,23,3
4,4,107,5
8,0,72,1
3,0,63,2
1,1,43,5
0,0,5,1
1,1,21,5
1,1,26,5
22,1,226,4
0,0,1,4
0,0,0,5
3,0,14,1
3,0,7,4
4,4,116,5
5,0,69,4
15,1,148,1
6,1,39,3
2,0,8,1
4,0,35,1
1,0,18,4
7,1,64,1
7,7,118,5
1,1,8,5
0,0,0,5
1,1,17,3
0,0,4,5
1,0,27,3
0,0,2,2
0,0,0,5
2,2,32,5
15,1,244,4
0,0,0,4
0,0,7,3
3,0,19,3
1,0,8,2
0,0,10,5
1,1,19,5
2,1,88,4
4,4,93,5
1,0,16,2
4,0,24,3
0,0,45,3
2,0,4,4
2,0,17,3
1,1,12,5
0,0,8,5
5,0,59,3
2,1,45,2
6,1,110,2
2,0,29,2
0,0,1,5
6,0,82,1
2,1,35,4
0,0,25,4
1,1,3,5
4,0,91,4
13,0,182,1
3,3,73,5
2,2,44,5
1,1,11,5
13,0,156,3
0,0,10,5
2,1,23,4
7,7,217,5
1,1,20,5
0,0,45,5
4,0,64,1
3,0,98,2
9,9,67,5
2,2,54,5
4,1,68,2
2,0,14,4
3,3,90,5
0,0,12,5
3,0,83,1
1,1,50,5
0,0,4,5
2,0,22,2
1,1,32,5
0,0,5,2
0,0,8,5
1,1,35,5
5,0,34,2
1,0,29,2
0,0,14,1
4,1,67,4
3,1,37,4
4,4,117,5
4,4,78,5
0,0,11,5
4,0,43,1
1,0,25,4
2,0,21,3
2,2,90,5
12,0,90,4
0,0,16,5
1,1,4,5
5,0,59,3
0,0,1,3
0,0,15,5
1,1,19,5
0,0,27,5
2,0,27,2
3,1,23,2
4,1,107,4
0,0,0,5
2,0,27,1
2,0,56,2
9,1,75,4
2,1,46,4
1,1,19,5
0,0,6,5
4,0,68,1
2,0,25,2
11,2,112,1
1,0,2,3
2,0,3,4
7,1,128,2
4,0,53,1
1,0,13,3
1,1,3,5
0,0,4,5
0,0,2,3
3,3,15,5
0,0,3,2
0,0,7,5
1,0,1,3
0,0,34,5
2,0,7,2
10,1,112,4
2,2,45,5
2,0,35,2
0,0,2,5
2,0,45,1
0,0,10,2
1,1,22,5
4,1,47,4
1,0,38,3
11,1,135,1
4,4,101,5
0,0,7,5
0,0,4,5
0,0,7,5
3,0,11,3
12,0,172,1
3,0,22,2
1,1,24,5
0,0,22,5
0,0,2,5
2,0,32,3
1,1,11,1
6,1,110,4
2,2,53,5
2,2,67,5
2,2,15,5
2,0,21,4
4,0,84,2
7,0,60,3
1,0,1,4
2,0,40,1
0,0,25,5
2,0,20,4
5,0,53,3
1,1,43,5
0,0,20,2
0,0,20,2
2,0,28,2
1,1,26,5
2,2,26,5
1,0,17,2
3,1,20,4
1,1,31,5
0,0,8,4
1,1,6,5
12,12,275,5
3,3,125,5
4,4,43,5
5,5,56,5
1,0,14,2
0,0,24,4
7,7,52,5
1,1,32,5
2,2,22,5
0,0,7,4
0,0,0,5
2,0,19,1
0,0,10,4
0,0,3,5
1,1,4,5
1,0,39,3
2,2,37,5
0,0,0,3
1,0,15,1
2,2,81,5
0,0,20,5
0,0,3,3
4,4,79,5
1,0,18,1
4,2,44,4
1,0,13,1
0,0,12,3
3,0,30,1
2,2,8,5
3,0,63,2
29,5,391,4
0,0,1,4
1,1,12,5
17,0,203,2
3,1,6,4
0,0,14,5
9,3,58,4
6,6,63,5
1,1,57,5
3,0,49,2
2,2,4,5
0,0,4,3
2,2,24,5
7,1,95,2
4,1,51,1
0,0,2,5
2,2,6,5
0,0,2,5
0,0,31,5
0,0,36,5
0,0,18,5
7,1,72,4
3,0,37,1
1,0,50,2
0,0,0,3
4,0,34,3
0,0,7,2
11,0,69,2
2,1,30,4
1,1,10,5
2,0,33,1
3,3,41,5
4,0,46,4
1,0,14,2
1,0,12,4
0,0,10,5
5,1,43,2
4,4,46,5
3,0,29,4
0,0,45,5
0,0,1,1
1,0,17,4
7,1,87,4
2,0,50,1
11,0,193,2
3,1,32,2
2,0,27,1
3,3,53,5
3,1,35,1
0,0,16,4
1,1,19,5
0,0,10,5
1,0,16,3
1,1,28,5
9,2,127,4
0,0,2,1
1,0,9,4
4,4,39,5
15,2,221,2
4,2,41,4
9,2,115,4
1,1,41,4
1,0,63,4
4,4,22,5
6,0,165,4
0,0,5,3
3,3,85,5
6,6,150,5
0,0,61,1
1,0,16,4
12,3,131,3
0,0,13,5
0,0,0,5
2,2,27,5
3,0,40,2
5,5,27,5
2,0,15,3
3,3,13,5
0,0,15,5
0,0,0,1
6,1,53,2
2,2,97,5
6,1,65,4
4,0,55,2
4,4,77,5
0,0,12,4
3,0,22,1
2,2,27,5
1,1,4,5
1,1,17,5
0,0,19,5
1,1,52,5
1,1,18,5
1,1,8,5
4,4,42,5
4,0,77,1
3,1,107,2
5,1,89,3
0,0,14,4
3,0,13,2
5,5,217,5
1,0,22,4
0,0,23,5
1,0,18,3
0,0,20,5
2,2,55,5
0,0,4,2
10,10,161,5
0,0,12,3
0,0,71,5
0,0,3,5
1,1,37,5
5,1,41,1
0,0,0,5
2,0,12,1
0,0,29,2
1,0,22,1
6,6,252,5
2,0,15,2
1,1,19,5
3,0,11,2
0,0,2,2
1,0,10,1
0,0,13,3
0,0,9,5
1,0,3,1
0,0,20,5
3,3,125,5
1,1,61,4
0,0,0,1
2,0,32,4
6,6,161,5
1,0,65,1
2,2,38,5
0,0,8,3
0,0,5,1
0,0,26,5
0,0,1,1
12,12,188,5
2,2,35,5
6,0,58,1
5,1,83,4
1,1,24,5
0,0,0,5
1,1,17,5
2,2,48,5
3,3,76,5
3,3,91,5
0,0,14,3
1,0,12,2
0,0,7,5
1,1,22,5
0,0,7,2
7,7,224,5
7,0,95,2
1,0,9,1
1,0,51,1
16,16,259,5
0,0,52,2
2,0,4,1
0,0,10,4
11,2,98,4
1,0,35,2
1,0,9,1
1,1,98,5
0,0,1,5
0,0,3,2
3,3,73,5
0,0,2,1
1,1,32,5
1,1,47,5
3,1,28,4
0,0,0,5
1,0,23,1
2,0,4,3
0,0,17,3
2,2,29,5
2,0,9,3
0,0,0,5
3,1,30,3
0,0,26,5
3,1,10,3
3,3,28,5
3,3,20,5
1,0,33,1
0,0,1,5
