rr,rr_reduced,total_traced,inf_p
2,0,10,1
3,3,136,5
0,0,11,5
0,0,6,2
1,1,30,5
2,0,29,4
0,0,1,5
0,0,1,5
0,0,4,1
0,0,5,2
1,0,28,3
3,1,26,2
3,1,42,3
1,1,12,5
0,0,1,5
12,6,48,5
1,0,20,2
1,0,26,1
0,0,2,1
1,1,21,5
1,0,10,1
5,5,39,5
1,1,5,5
3,0,53,2
1,1,6,5
2,2,12,5
2,2,3,5
13,0,122,2
3,3,31,5
8,4,99,4
7,0,64,1
0,0,10,5
5,0,15,2
6,0,22,3
0,0,5,5
2,2,10,5
0,0,7,5
5,1,29,2
1,1,14,5
1,0,21,2
0,0,63,3
2,2,36,5
5,0,70,2
0,0,11,5
1,1,34,5
1,1,12,5
9,1,94,2
1,1,44,5
0,0,0,1
1,0,15,4
3,3,37,5
2,2,3,5
29,5,433,4
1,0,2,3
0,0,3,5
0,0,13,5
7,1,73,2
1,0,8,2
0,0,12,5
2,2,6,5
5,1,47,2
5,3,35,2
1,0,2,4
6,4,94,5
1,0,12,1
1,0,8,3
1,1,51,5
1,1,22,5
5,0,61,4
7,0,8,1
1,1,3,5
3,1,17,3
9,1,68,4
1,1,5,5
13,0,61,1
0,0,13,5
0,0,6,5
2,1,4,2
1,1,11,5
9,9,56,5
3,0,7,2
4,0,11,5
0,0,2,5
5,1,15,4
0,0,31,5
3,0,49,3
2,2,16,5
1,1,24,5
0,0,2,5
2,2,24,5
3,1,29,4
3,3,71,5
2,2,52,5
0,0,4,5
0,0,1,1
4,1,65,3
0,0,12,1
2,0,11,2
0,0,2,1
0,0,15,4
2,1,11,4
2,2,12,5
4,4,39,5
12,12,151,5
1,0,9,4
0,0,0,2
0,0,1,4
1,1,2,5
0,0,3,3
3,1,28,4
1,0,32,3
1,0,20,4
0,0,11,5
1,1,18,5
1,1,21,5
1,1,8,5
0,0,3,5
2,0,16,2
2,2,125,5
0,0,15,1
2,0,8,2
3,0,30,3
0,0,1,5
1,0,14,2
0,0,1,5
0,0,3,2
2,0,3,1
2,2,23,5
4,4,48,5
0,0,15,5
0,0,12,5
5,0,25,4
0,0,16,1
6,1,82,4
0,0,10,4
4,4,79,5
2,1,68,5
1,0,13,2
0,0,20,5
2,1,18,3
0,0,14,5
3,0,32,4
