rr,rr_reduced,total_traced,inf_p
5,2,54,4
3,1,20,2
1,0,5,4
0,0,3,5
1,0,22,3
9,0,99,2
3,1,25,3
7,7,48,5
0,0,43,2
2,0,40,3
1,1,12,5
1,0,11,2
1,0,11,1
4,0,27,2
0,0,12,4
2,2,31,5
9,1,82,2
4,4,180,5
0,0,13,1
1,1,19,5
0,0,3,3
1,0,9,2
5,0,27,1
3,0,16,4
0,0,1,5
0,0,18,4
2,0,35,4
0,0,21,5
0,0,7,5
3,0,41,4
2,0,14,3
1,1,26,5
0,0,4,2
1,1,8,5
1,1,38,5
10,1,73,1
1,1,31,5
1,0,8,1
0,0,14,5
0,0,0,5
1,0,16,1
2,2,12,5
1,0,12,4
0,0,6,2
4,0,51,2
2,0,49,4
0,0,4,4
2,2,33,5
2,2,11,5
12,3,157,1
5,0,33,2
1,1,8,5
1,0,4,4
1,1,21,5
12,2,185,3
3,3,81,5
2,1,12,4
1,1,23,5
0,0,17,1
2,2,42,5
0,0,10,5
9,4,98,2
1,0,33,2
1,1,32,5
2,2,12,5
0,0,33,4
0,0,2,4
1,0,19,4
6,3,20,3
0,0,1,5
4,4,54,5
0,0,42,5
9,2,56,2
2,0,11,1
1,0,11,2
1,1,60,5
6,0,64,2
0,0,14,5
2,0,23,3
0,0,17,5
6,2,75,4
4,1,82,2
5,0,107,2
3,3,43,5
4,1,12,3
0,0,7,5
12,2,145,4
7,1,68,3
3,3,6,5
0,0,3,5
0,0,10,5
1,1,29,5
1,0,6,1
4,0,65,1
4,0,23,2
0,0,3,5
1,1,9,2
1,1,11,5
4,0,56,1
2,0,46,4
2,0,19,2
0,0,25,5
0,0,24,1
4,1,30,4
3,2,33,4
4,4,42,5
4,0,34,3
0,0,22,5
12,4,140,4
2,1,7,3
9,3,67,2
5,2,19,4
1,1,12,5
1,1,8,5
3,3,55,5
3,0,31,1
2,0,8,4
2,2,13,5
6,6,100,5
1,0,2,4
1,0,46,2
1,1,7,5
1,1,31,4
0,0,2,5
7,2,69,4
0,0,17,5
1,0,15,4
2,1,4,3
1,1,21,2
