scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.991,0,2.991,0,0,0,0,0.5392,0.2926,0,54%,3,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.953,0.9653,1.9877,0,0,0,0,0.4144,0.1786,0.3268879105993904,41%,2,33%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.9228,1.0566,1.8662,2,2.4,0,7,0.3914,0.1669,0.36150266867387437,39%,1.9,36%,2 (0-7),43,22,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.8668,1.4738,1.393,12,27,0,101,0.3068,0.1121,0.5140923677968466,31%,1.5,51%,12 (0-100),490,240,120,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.9596,1.7078,1.2518,21,35,1,112,0.2722,0.0962,0.5770374374915529,27%,1.3,58%,21 (1-110),630,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.9166,1.8528,1.0638,18,31,1,103,0.2356,0.0727,0.6352602345196461,24%,1.1,64%,18 (1-100),560,280,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.9187,1.7756,1.1431,28,43,1,135.049999999999,0.2366,0.0884,0.6083530338849488,24%,1.2,61%,28 (1-140),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.9939,1.3192,1.6747,4,15,0,58,0.3564,0.1495,0.4406292795350546,36%,1.7,44%,4 (0-58),270,140,68,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,3.0029,1.6021,1.4008,4,12,0,46,0.3051,0.1118,0.5335175996536681,31%,1.4,53%,4 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.5
pop_testing,2.9726,0.0728,2.8998,0,0,0,0,0.5322,0.2787,0.02449034515239179,53%,2.9,2.4%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
