scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.5774,0,2.5774,0,0,0,0,0.5378,0.249,0,54%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.6471,0.8842,1.7629,0,0,0,0,0.3999,0.1476,0.33402591515243096,40%,1.7,33%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.6086,1.1171,1.4915,2,2.4,0,7,0.3415,0.1245,0.42823736870351914,34%,1.5,43%,2 (0-7),43,22,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.606,1.3939,1.2121,13,28,0,99,0.2767,0.092,0.5348810437452034,28%,1.2,53%,13 (0-99),500,250,130,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6254,1.5143,1.1111,22,36,1,117,0.2447,0.0795,0.5767882989258779,24%,1.1,58%,22 (1-120),650,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.6025,1.6797,0.9228,17,32,1,105,0.2107,0.0567,0.6454178674351585,21%,0.91,65%,17 (1-100),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5979,1.625,0.9729,29,43,1,131,0.2232,0.0719,0.6255052157511837,22%,0.97,63%,29 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.5969,1.2649,1.332,5,14,0,56,0.3136,0.1021,0.4870807501251492,31%,1.3,49%,5 (0-56),250,130,63,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5722,1.399,1.1732,5,12,0,46,0.2678,0.0852,0.5438923878392038,27%,1.2,54%,5 (0-46),220,110,54,0,4,0.95,0.53,0.6,0.5
pop_testing,2.6056,0.0554,2.5502,0,0,0,0,0.5357,0.2464,0.021261897451642642,54%,2.5,2.1%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
