V1,V2,V3,V4,V5,V6,V7,V8
0%,0 (0-0),0%,0 (0-0),0%,0 (0-0),2.991,2.5774
33%,0 (0-0),33%,0 (0-0),33%,0 (0-0),1.9877,1.7629
38%,2 (0-7),36%,2 (0-7),43%,2 (0-7),1.8662,1.4915
53%,13 (0-100),51%,12 (0-100),53%,13 (0-99),1.393,1.2121
58%,22 (1-110),58%,21 (1-110),58%,22 (1-120),1.2518,1.1111
65%,18 (1-110),64%,18 (1-100),65%,17 (1-100),1.0638,0.9228
62%,28 (1-140),61%,28 (1-140),63%,29 (1-130),1.1431,0.9729
45%,4.5 (0-59),44%,4 (0-58),49%,5 (0-56),1.6747,1.332
54%,4 (0-47),53%,4 (0-46),54%,5 (0-46),1.4008,1.1732
2.1%,0 (0-0),2.4%,0 (0-0),2.1%,0 (0-0),2.8998,2.5502
