V1,V2,V3,V4,V5,V6,V7,V8
0%,0 (0-0),0%,0 (0-0),0%,0 (0-0),0%,0 (0-0)
33%,0 (0-0),47%,0 (0-0),51%,0 (0-0),19%,0 (0-0)
38%,2 (0-7),49%,2 (0-7),55%,2 (0-7),26%,2 (0-7)
53%,13 (0-100),58%,13 (0-99),60%,13 (0-100),45%,13 (0-98)
58%,22 (1-110),60%,22 (1-110),62%,21 (1-110),52%,22 (1-110)
65%,18 (1-110),67%,18 (1-110),68%,18 (1-110),61%,17 (1-110)
62%,28 (1-140),64%,28 (1-130),64%,28 (1-130),58%,28 (1-140)
45%,4.5 (0-59),53%,5 (0-56),56%,4 (0-55),35%,4 (0-56)
54%,4 (0-47),60%,5 (0-48),63%,5 (0-47),44%,5 (0-45)
2.1%,0 (0-0),2.4%,0 (0-0),2.3%,0 (0-0),1.8%,0 (0-0)
