scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.568,0,2.568,0,0,0,0,0.4996,0.2443,0,50%,2.6,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.5888,0.4987,2.0901,0,0,0,0,0.4435,0.1907,0.19263751545117425,44%,2.1,19%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.5731,0.6654,1.9077,2,2.4,0,7,0.4037,0.1686,0.2585985775912324,40%,1.9,26%,2 (0-7),43,22,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.529,1.1376,1.3914,13,27,0,98,0.3069,0.1129,0.4498220640569395,31%,1.4,45%,13 (0-98),490,240,120,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6114,1.3539,1.2575,22,36,1,114,0.28,0.0961,0.5184575323581221,28%,1.2,52%,22 (1-110),650,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5633,1.5525,1.0108,17,32,1,106,0.2307,0.0668,0.6056645730113526,23%,1,61%,17 (1-110),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.6373,1.5393,1.098,28,44,1,140,0.2343,0.0821,0.5836651120464111,23%,1.1,58%,28 (1-140),790,400,200,0,4,0.95,0.53,0.6,0.5
cell_phone,2.5897,0.9143,1.6754,4,14,0,56,0.3627,0.1425,0.35305247712090204,36%,1.7,35%,4 (0-56),250,130,63,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5831,1.143,1.4401,5,12,0,45,0.3165,0.1124,0.4424915798846347,32%,1.4,44%,5 (0-45),220,110,54,0,4,0.95,0.53,0.6,0.5
pop_testing,2.6079,0.0464,2.5615,0,0,0,0,0.4995,0.2428,0.017792093255109442,50%,2.5,1.8%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
