scenario,basic,r_diff,r_eff,contacts_med,contacts,traced_90_1,traced_90_2,above1,above5,reduction_raw,aboveX,r_effective,reduction,t_contacts,total_contacts100,total_contacts50,total_contacts10,wfh,limit_other,trace_p,app_cov,prob_symp,prob_t_asymp
no_measures,2.5479,0,2.5479,0,0,0,0,0.5003,0.2478,0,50%,2.5,0%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
isolation_only,2.6211,1.2258,1.3953,0,0,0,0,0.3084,0.1141,0.46766624699553627,31%,1.4,47%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
hh_quaratine_only,2.5728,1.2523,1.3205,2,2.4,0,7,0.2909,0.1107,0.4867459577114428,29%,1.3,49%,2 (0-7),43,22,11,0,4,0.95,0.53,0.6,0.5
hh_work_only,2.5576,1.4851,1.0725,13,27,0,99,0.2396,0.0849,0.5806615577103534,24%,1.1,58%,13 (0-99),490,240,120,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_only,2.6122,1.5714,1.0408,22,36,1,114,0.2248,0.0853,0.601561901845188,22%,1,60%,22 (1-110),650,320,160,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing_met_limit,2.5446,1.7155,0.8291,18,32,1,106.049999999999,0.1852,0.056,0.6741727579973277,19%,0.83,67%,18 (1-110),580,290,140,0,4,0.95,0.53,0.6,0.5
isolation_manual_tracing,2.5997,1.6695,0.9302,28,43,1,133,0.2028,0.0745,0.642189483401931,20%,0.91,64%,28 (1-130),770,390,190,0,4,0.95,0.53,0.6,0.5
cell_phone,2.5334,1.3552,1.1782,5,14,0,56,0.2616,0.093,0.5349332912291782,26%,1.2,53%,5 (0-56),250,130,63,0,4,0.95,0.53,0.6,0.5
cell_phone_met_limit,2.5089,1.4946,1.0143,5,13,0,48,0.2297,0.0741,0.5957192395073538,23%,1,60%,5 (0-48),230,120,58,0,4,0.95,0.53,0.6,0.5
pop_testing,2.6053,0.0615,2.5438,0,0,0,0,0.4975,0.245,0.02360572678770201,50%,2.5,2.4%,0 (0-0),0,0,0,0,4,0.95,0.53,0.6,0.5
